,Kruglyak_name,Jerison_name
0,A01_01,NA
1,A01_02,LK1-A02
2,A01_03,NA
3,A01_04,NA
4,A01_05,LK1-A05
5,A01_06,LK1-A06
6,A01_07,LK1-A07
7,A01_08,NA
8,A01_09,LK1-A09
9,A01_10,LK1-A10
10,A01_11,NA
11,A01_12,LK1-A12
12,A01_13,LK1-B01
13,A01_14,NA
14,A01_15,LK1-B03
15,A01_16,LK1-B04
16,A01_17,LK1-B05
17,A01_18,NA
18,A01_19,NA
19,A01_20,LK1-B08
20,A01_21,NA
21,A01_22,NA
22,A01_23,NA
23,A01_24,NA
24,A01_25,LK1-C01
25,A01_26,NA
26,A01_27,NA
27,A01_28,NA
28,A01_29,NA
29,A01_30,LK1-C06
30,A01_31,LK1-C07
31,A01_32,NA
32,A01_33,LK1-C09
33,A01_34,NA
34,A01_35,LK1-C11
35,A01_36,NA
36,A01_37,LK1-D01
37,A01_38,LK1-D02
38,A01_39,NA
39,A01_40,NA
40,A01_41,NA
41,A01_42,LK1-D06
42,A01_43,NA
43,A01_44,LK1-D08
44,A01_45,LK1-D09
45,A01_46,LK1-D10
46,A01_47,NA
47,A01_48,LK1-D12
48,A01_49,LK1-E01
49,A01_50,NA
50,A01_51,NA
51,A01_52,LK1-E04
52,A01_53,LK1-E05
53,A01_54,NA
54,A01_55,LK1-E07
55,A01_56,NA
56,A01_57,LK1-E09
57,A01_58,NA
58,A01_59,NA
59,A01_60,NA
60,A01_61,NA
61,A01_62,NA
62,A01_63,LK1-F03
63,A01_64,NA
64,A01_65,LK1-F05
65,A01_66,NA
66,A01_67,NA
67,A01_69,NA
68,A01_70,NA
69,A01_71,NA
70,A01_72,NA
71,A01_73,NA
72,A01_74,NA
73,A01_75,LK1-G03
74,A01_76,LK1-G04
75,A01_77,NA
76,A01_79,LK1-G07
77,A01_80,LK1-G08
78,A01_81,LK1-G09
79,A01_82,LK1-G10
80,A01_83,LK1-G11
81,A01_84,LK1-G12
82,A01_85,NA
83,A01_86,LK1-H02
84,A01_87,LK1-H03
85,A01_88,LK1-H04
86,A01_89,NA
87,A01_90,NA
88,A01_91,NA
89,A01_92,NA
90,A01_93,LK1-H09
91,A01_94,NA
92,A01_95,NA
93,A01_96,LK1-H12
94,A02_01,LK2-A01
95,A02_02,NA
96,A02_03,NA
97,A02_04,NA
98,A02_05,LK2-A05
99,A02_06,LK2-A06
100,A02_07,LK2-A07
101,A02_08,NA
102,A02_09,LK2-A09
103,A02_10,LK2-A10
104,A02_11,LK2-A11
105,A02_12,LK2-A12
106,A02_13,NA
107,A02_14,NA
108,A02_15,NA
109,A02_16,LK2-B04
110,A02_17,LK2-B05
111,A02_18,NA
112,A02_19,LK2-B07
113,A02_20,NA
114,A02_21,NA
115,A02_22,NA
116,A02_23,NA
117,A02_24,NA
118,A02_25,NA
119,A02_26,NA
120,A02_27,NA
121,A02_29,LK2-C05
122,A02_30,LK2-C06
123,A02_32,LK2-C08
124,A02_33,LK2-C09
125,A02_34,NA
126,A02_35,NA
127,A02_36,NA
128,A02_37,NA
129,A02_38,NA
130,A02_39,LK2-D03
131,A02_40,LK2-D04
132,A02_41,LK2-D05
133,A02_43,LK2-D07
134,A02_44,NA
135,A02_45,LK2-D09
136,A02_46,NA
137,A02_47,NA
138,A02_48,NA
139,A02_49,NA
140,A02_50,NA
141,A02_51,NA
142,A02_52,NA
143,A02_53,NA
144,A02_54,NA
145,A02_55,LK2-E07
146,A02_56,LK2-E08
147,A02_57,NA
148,A02_58,LK2-E10
149,A02_59,NA
150,A02_60,LK2-E12
151,A02_61,NA
152,A02_62,NA
153,A02_63,LK2-F03
154,A02_64,LK2-F04
155,A02_65,LK2-F05
156,A02_66,NA
157,A02_67,LK2-F07
158,A02_68,NA
159,A02_69,NA
160,A02_70,NA
161,A02_71,LK2-F11
162,A02_72,LK2-F12
163,A02_73,NA
164,A02_74,NA
165,A02_75,NA
166,A02_76,NA
167,A02_78,LK2-G06
168,A02_79,LK2-G07
169,A02_80,NA
170,A02_81,LK2-G09
171,A02_82,LK2-G10
172,A02_83,NA
173,A02_84,NA
174,A02_86,NA
175,A02_87,NA
176,A02_88,NA
177,A02_89,NA
178,A02_90,LK2-H06
179,A02_91,NA
180,A02_92,NA
181,A02_93,NA
182,A02_94,NA
183,A02_95,NA
184,A02_96,NA
185,A03_01,LK3-A01
186,A03_02,NA
187,A03_03,LK3-A03
188,A03_04,NA
189,A03_05,LK3-A05
190,A03_06,NA
191,A03_07,LK3-A07
192,A03_08,NA
193,A03_09,NA
194,A03_10,NA
195,A03_11,NA
196,A03_12,LK3-A12
197,A03_13,NA
198,A03_14,LK3-B02
199,A03_15,LK3-B03
200,A03_16,LK3-B04
201,A03_17,NA
202,A03_18,NA
203,A03_19,LK3-B07
204,A03_20,LK3-B08
205,A03_21,NA
206,A03_22,LK3-B10
207,A03_23,LK3-B11
208,A03_24,LK3-B12
209,A03_25,LK3-C01
210,A03_26,LK3-C02
211,A03_27,LK3-C03
212,A03_28,LK3-C04
213,A03_29,NA
214,A03_30,LK3-C06
215,A03_31,NA
216,A03_32,LK3-C08
217,A03_33,LK3-C09
218,A03_34,NA
219,A03_35,LK3-C11
220,A03_36,LK3-C12
221,A03_37,LK3-D01
222,A03_38,NA
223,A03_39,NA
224,A03_40,LK3-D04
225,A03_41,LK3-D05
226,A03_42,NA
227,A03_43,NA
228,A03_44,LK3-D08
229,A03_45,LK3-D09
230,A03_46,NA
231,A03_47,NA
232,A03_48,LK3-D12
233,A03_49,NA
234,A03_50,NA
235,A03_51,LK3-E03
236,A03_52,NA
237,A03_53,NA
238,A03_54,LK3-E06
239,A03_55,NA
240,A03_56,NA
241,A03_57,LK3-E09
242,A03_58,NA
243,A03_59,LK3-E11
244,A03_60,NA
245,A03_61,NA
246,A03_62,NA
247,A03_63,NA
248,A03_64,NA
249,A03_65,NA
250,A03_66,LK3-F06
251,A03_67,NA
252,A03_68,NA
253,A03_69,NA
254,A03_70,LK3-F10
255,A03_71,NA
256,A03_72,LK3-F12
257,A03_73,LK3-G01
258,A03_74,LK3-G02
259,A03_75,NA
260,A03_76,NA
261,A03_77,NA
262,A03_78,NA
263,A03_79,LK3-G07
264,A03_80,LK3-G08
265,A03_81,NA
266,A03_82,LK3-G10
267,A03_83,LK3-G11
268,A03_84,NA
269,A03_85,LK3-H01
270,A03_86,NA
271,A03_87,LK3-H03
272,A03_88,NA
273,A03_89,LK3-H05
274,A03_90,LK3-H06
275,A03_91,NA
276,A03_92,LK3-H08
277,A03_93,NA
278,A03_94,LK3-H10
279,A03_95,LK3-H11
280,A04_01,NA
281,A04_02,NA
282,A04_03,NA
283,A04_04,LK4-A04
284,A04_05,NA
285,A04_06,NA
286,A04_07,NA
287,A04_08,NA
288,A04_09,NA
289,A04_10,LK4-A10
290,A04_11,NA
291,A04_12,LK4-A12
292,A04_13,LK4-B01
293,A04_15,LK4-B03
294,A04_16,LK4-B04
295,A04_17,LK4-B05
296,A04_18,LK4-B06
297,A04_19,LK4-B07
298,A04_20,LK4-B08
299,A04_21,NA
300,A04_22,LK4-B10
301,A04_23,NA
