Library,File(s),Offset
BT-H1,BT-H1_S6.R1.fastq.gz;BT-H1_S4.R1.fastq.gz,0
BT-H2,BT-H2_S7.R1.fastq.gz;BT-H2_S5.R1.fastq.gz,0
BT-H3,BT-H3_S8.R1.fastq.gz;BT-H3_S6.R1.fastq.gz,0
BT-H4,BT-H4_S9.R1.fastq.gz;BT-H4_S7.R1.fastq.gz,0
BT-H5,BT-H5_S10.R1.fastq.gz;BT-H5_S8.R1.fastq.gz,0
BT-H6,BT-H6_S11.R1.fastq.gz;BT-H6_S9.R1.fastq.gz,0
BT-H7,BT-H7_S12.R1.fastq.gz;BT-H7_S10.R1.fastq.gz,0
BT-H8,BT-H8_S13.R1.fastq.gz;BT-H8_S11.R1.fastq.gz,0
BT-H9,BT-H9_S14.R1.fastq.gz;BT-H9_S12.R1.fastq.gz,0
BT-H10,BT-H10_S15.R1.fastq.gz;BT-H10_S13.R1.fastq.gz,0
BT-N1,BT-N1_S16.R2.fastq.gz;BT-N1_S14.R2.fastq.gz,0
BT-N2,BT-N2_S17.R2.fastq.gz;BT-N2_S15.R2.fastq.gz,0
BT-N3,BT-N3_S18.R2.fastq.gz;BT-N3_S16.R2.fastq.gz,0
BT-N4,BT-N4_S19.R2.fastq.gz;BT-N4_S17.R2.fastq.gz,0
BT-N5,BT-N5_S20.R2.fastq.gz;BT-N5_S18.R2.fastq.gz,0
BT-N6,BT-N6_S21.R2.fastq.gz;BT-N6_S19.R2.fastq.gz,0
BT-N7,BT-N7_S22.R2.fastq.gz;BT-N7_S20.R2.fastq.gz,0
BT-N8,BT-N8_S23.R2.fastq.gz;BT-N8_S21.R2.fastq.gz,0
BT-N9,BT-N9_S24.R2.fastq.gz;BT-N9_S22.R2.fastq.gz,0
BT-N10,BT-N10_S25.R2.fastq.gz;BT-N10_S23.R2.fastq.gz,0
