segregant,Replicate_1,Replicate_2
LK1-D06,BT-A1.H1,BT-A3.H8
LK2-A12,BT-A1.H2,BT-A3.H1
LK2-E07,BT-A1.H3,BT-A3.H2
LK2-F11,BT-A1.H4,BT-A3.H3
LK3-D08,BT-A1.H5,BT-A3.H4
LK3-G02,BT-A1.H6,BT-A3.H5
LK4-A04,BT-A1.H7,BT-A3.H6
LK4-E02,BT-A1.H8,BT-A3.H7
LK1-B05,BT-A1.N1,BT-A3.N6
LK1-C09,BT-A1.N2,BT-A3.N7
LK1-E09,BT-A1.N3,BT-A3.N1
LK2-B04,BT-A1.N4,BT-A3.N2
LK4-B12,BT-A1.N5,BT-A3.N3
LK4-D01,BT-A1.N6,BT-A3.N4
LK4-H11,BT-A1.N7,BT-A3.N5
LK1-C11,BT-A1.H9,BT-A3.N8
LK2-A01,BT-A1.H10,BT-A3.N9
LK3-C01,BT-A1.N8,BT-A3.N10
LK3-D09,BT-A1.N9,BT-A3.H9
LK4-A12,BT-A1.N10,BT-A3.H10
