segregant,"initial fitness, YPD 30C",std err,"initial fitness, SC 37 C",std err.1,"(final fitness at 30C, final fitness at 37C), populations evolved at 30C","(final fitness at 30C, final fitness at 37C), populations evolved at 37C",is_hyg_sensitive_guess,is_nat_sensitive_guess
LK1-A02,0.074568945,0.0018857879999999998,0.117547414,0.003180032,"clone-4 0.122425685407 0.142855749915,clone-1 0.0578684036189 0.114224793249","clone-4 0.114460991532 0.174191999559,clone-3 0.0837911537537 0.181944352542,clone-2 0.0904272673462 0.179026497094,clone-1 0.104807119419 0.189063958783",False,True
LK1-A05,0.07181288400000001,0.0025140970000000003,0.109737998,0.003733592,"clone-4 0.132099817394 0.16120515844,clone-3 0.102181841077 0.142878077285,clone-2 0.135913154 0.138281642687,clone-1 0.107493144912 0.133409129125","clone-4 0.0563528392969 0.175961098691,clone-3 0.0919399702211 0.142862787259,clone-2 0.098852788137 0.154155753034,clone-1 0.0959710394315 0.164691307648",True,False
LK1-A06,0.031765912,0.0013855010000000001,0.022412657000000002,0.002253555,"clone-4 0.070500255624 0.0688562767802,clone-3 0.0777547349818 0.0993758472478,clone-2 0.0820129179137 0.10549968077,clone-1 0.0677991185571 0.0551404057879","clone-4 0.0678730346836 0.0945987611377,clone-2 0.0773264104483 0.111307199106,clone-1 0.0686182522368 0.119769814875",False,True
LK1-A09,-0.063297996,0.0014417479999999999,-0.203332237,0.004328811,"clone-4 0.0371740365645 -0.152840115278,clone-3 0.00474027277442 -0.105306043689,clone-2 0.040669641232 -0.355681585539,clone-1 0.0203586460845 -0.106432491355","clone-4 0.0590391038669 0.0551620739415,clone-3 -0.0146420422863 0.000464485913253,clone-2 0.0350489986696 -0.00720395225137,clone-1 0.0479931569188 0.0472252929497",True,True
LK1-A10,-0.059235835,0.001970869,-0.07924137099999999,0.00317591,"clone-4 0.0409703801954 0.095232482191,clone-3 -0.0213047480997 -0.0519112184711,clone-2 0.00414621740907 0.00366512650672,clone-1 -0.0305941738223 -0.0795268500366","clone-4 -0.0123424386547 0.0352493187897,clone-3 0.0863937981028 0.166251378008,clone-2 0.0271265506983 0.0960847105939,clone-1 0.0431668539185 0.106490709663",True,True
LK1-B01,0.007985589,0.0013928120000000002,0.060621583,0.006314526,"clone-4 0.042090802673 0.0846673769857,clone-3 0.0382965688042 0.103697471785,clone-2 0.0450977976961 0.10744691253,clone-1 0.0332270965892 0.0950902906187","clone-4 0.0117529903919 0.107304721665,clone-2 0.000927022340112 0.116262198167,clone-1 -0.00167846099968 0.124710258119",True,False
LK1-B03,-0.061280442000000004,0.001987651,-0.133088717,0.020612382,"clone-4 0.0494631658346 -0.0592090422856,clone-3 0.0535524090302 -0.010186418264,clone-2 0.0344609973462 -0.0424575481617,clone-1 0.00300789989028 -0.0846402323742","clone-4 0.0349960257391 0.0486074258757,clone-3 -0.00260364621439 -0.0603587502829,clone-2 0.0892249044696 0.104055176602,clone-1 -0.0102847058251 -0.00345498744809",False,True
LK1-B04,-0.09425094,0.002049753,-0.163648453,0.0024886979999999997,"clone-4 -0.0518071447217 -0.132841263929,clone-3 -0.0568759467961 -0.124695076606,clone-2 -0.0182979828513 -0.07535792958,clone-1 -0.0586842740883 -0.117139522519","clone-4 -0.0403024869754 -0.0932607404618,clone-3 -0.0875719971344 -0.112078382155,clone-1 0.0709476747112 0.118209113397",True,False
LK1-B05,-0.051014885,0.0036071,-0.10865317199999999,0.012634946000000001,"clone-4 0.0468311273877 -0.0601413551364,clone-3 0.0312707523558 -0.145384924875,clone-2 0.063229461358 0.0524999035134,clone-1 0.016700264195 -0.0158147772433","clone-4 0.0750014077737 0.140927368115,clone-3 0.0933622478624 0.19012719823,clone-2 0.0908813141424 0.18416420465,clone-1 0.042117059323 0.166585866178",False,True
LK1-B08,-0.092333836,0.001823438,-0.167978784,0.02167536,"clone-4 0.0371500538286 0.0087020315358,clone-3 0.0457203497448 -0.0182641473501,clone-2 0.0385304919627 -0.0240604623484,clone-1 0.0608233451385 -0.107722916395","clone-4 0.0463239309252 0.101669712866,clone-3 0.06142502863 0.11798006973,clone-2 0.0590488753639 0.115765600737,clone-1 0.0619999278879 0.105834038268",True,True
LK1-C06,0.078083465,0.002373455,0.114340271,0.004037815,"clone-4 0.107573973714 0.126544125743,clone-3 0.109251687423 0.135462537307,clone-2 0.117962319056 0.136873039786,clone-1 0.124491700918 0.152789320198","clone-4 0.111001605752 0.180080348674,clone-3 0.10853619003 0.160401176707,clone-2 0.119090449374 0.225770228085,clone-1 0.0900284512323 0.180121657887",True,True
LK1-C07,0.00115568,0.0008219610000000001,-0.029320192000000002,0.000442994,"clone-4 0.0548449723452 -0.0312235134027,clone-3 0.0845237533795 -0.0608897535369,clone-2 0.0747142468565 0.0423609076931,clone-1 0.0676018550926 -0.0102968160281","clone-4 0.0620303017674 0.0987586106097,clone-3 0.0499306658662 0.0991576119416,clone-2 0.0270947606877 0.0946256362727,clone-1 0.0587497476999 0.101880393636",False,True
LK1-C09,0.097834819,0.0028426059999999997,0.167291493,0.007963378,"clone-4 0.0980779006586 0.185652399843,clone-3 0.12218746291 0.202044975417,clone-2 0.118784436389 0.211720029028,clone-1 0.118279443243 0.195369349707","clone-4 0.124035440877 0.197630318692,clone-3 0.121070469535 0.218157495385,clone-2 0.130233330821 0.217636454287,clone-1 0.124336352295 0.240485320257",False,True
LK1-C11,0.03763259,0.002119406,0.126605297,0.002086122,"clone-4 0.0737207330411 0.144186446659,clone-3 0.042189205975 0.133868981465,clone-2 0.082984523976 0.151248674586,clone-1 0.0860464800744 0.146785016154","clone-4 0.0847649290543 0.204134564994,clone-3 0.0629430592133 0.148427442416,clone-2 0.0742503360047 0.205264592197,clone-1 0.0603614616316 0.18866702439",True,True
LK1-D02,-0.03975231,0.001101989,-0.129590606,0.00173544,"clone-4 0.0125620664397 -0.11585488534,clone-3 0.0456132032808 -0.0205719686782,clone-2 0.0265533371814 -0.00317302370962,clone-1 0.0504634207321 0.00163425607828","clone-4 0.0334928424598 0.111954438208,clone-3 0.0894381776095 0.152171942011,clone-2 0.0845073708237 0.116791009915,clone-1 0.0831079676397 0.107975590109",True,False
LK1-D06,-0.060605349,0.002381714,-0.178040213,0.012995463,"clone-4 -0.0271680613229 -0.312216502374,clone-3 0.0329469183881 -0.0695312246385,clone-2 0.0480493992886 -0.0357183564246,clone-1 -0.0361223197375 -0.157306112837","clone-4 0.0256461675559 -0.0523467768495,clone-3 0.0222400093163 -0.0858254737817,clone-2 -0.00493761404452 -0.0920065653364,clone-1 -0.0406539901588 -0.122965666071",True,False
LK1-D08,-0.008491259000000001,0.002720308,0.046031344,0.004462581,"clone-4 0.0314156210354 0.074492614706,clone-2 0.0437623941842 0.0585155292298,clone-1 0.03976321097 0.117021105812","clone-4 0.0338633103181 0.173362724257,clone-2 0.078004745214 0.158809774656",True,False
LK1-D10,-0.037986439,0.000620934,-0.130703974,0.007328755,"clone-4 -0.00556039068883 -0.0305827510791,clone-3 0.0102184004298 -0.0878290798676,clone-2 0.028248967916 -0.0244526924012,clone-1 0.0720215471184 0.11010219392","clone-3 0.0160963099925 0.128835910971,clone-2 0.0592652803961 0.0350972157546,clone-1 0.0179919115435 -0.0145310885615",True,True
LK1-D12,-0.057403752,0.00191313,-0.17126028899999998,0.023877209,"clone-4 0.0325026304684 -0.0268067368883,clone-3 0.00388226132847 -0.0699319881914,clone-2 0.023424859256 -0.14097287582,clone-1 0.0212605244766 -0.0169157497179","clone-4 0.0334673647984 0.0827130139167,clone-3 -0.0330993982766 -0.0914098200225,clone-2 0.0513125786893 0.0124974426377,clone-1 0.0337465895769 0.0119795595248",True,True
LK1-E01,-0.043467154,0.002411074,-0.168917968,0.003426991,"clone-4 0.0887516843308 0.106427859799,clone-3 0.049257128896 -0.0406104088151,clone-2 0.0329052899086 -0.210512446394,clone-1 0.00320364617917 -0.121905401934",clone-1 0.0718213907738 0.0505166503672,True,False
LK1-E04,0.010654118,0.022265734,-0.034910951,0.015278856,"clone-4 0.0926814072989 0.0819323373498,clone-3 0.0511222641571 -0.0195317304696,clone-2 0.0598625823483 -0.00974340419927,clone-1 0.1019523919 0.042452857596","clone-4 0.0745398085995 0.163174312921,clone-2 0.0878792517227 0.160001275388,clone-1 0.0832195263507 0.175431877562",False,True
LK1-E07,-0.10555883,0.0019519320000000002,-0.20706999899999998,0.002116693,"clone-4 0.0291245644901 -0.0604658354695,clone-3 0.0397830660133 -0.050858516859,clone-2 0.00201120716869 -0.077209965066,clone-1 0.0357779576271 -0.201859326836","clone-4 0.0232230548058 -0.00217819517738,clone-3 -0.00180898827395 0.00370419254687,clone-2 0.0432415445405 0.0191346371676,clone-1 -0.0781053795744 -0.0831737485655",False,True
LK1-E09,0.00130607,0.017980212,-0.03840633,0.0018815260000000001,"clone-4 0.0985874058475 0.129545871807,clone-3 0.101206235944 0.118596198165,clone-2 0.0912294132206 0.0343395804752,clone-1 0.0776826035504 0.0809646205754","clone-4 0.0974333416828 0.205948808,clone-3 0.0378206586511 0.189711057064,clone-2 0.0967903296416 0.191273883534,clone-1 0.0706931132392 0.187040793447",False,True
LK1-F05,0.046509142,0.004982449,0.134839585,0.0039947229999999995,"clone-4 0.0530085637861 0.120009992162,clone-3 0.051345889831 0.115290993498,clone-2 0.0572144690963 0.122196565295,clone-1 0.0516910338286 0.134809732678","clone-4 0.0626439948569 0.155932672012,clone-3 0.0615092395112 0.148267925747,clone-2 0.0667633982055 0.175428132263,clone-1 0.0541103497121 0.189547100224",True,False
LK1-G03,0.044068065,0.001000773,0.06570955,0.0013211879999999998,"clone-4 0.0544667171701 0.0887274291488,clone-3 0.0502170616674 0.0739549041282,clone-2 0.0523788602061 0.0630216646615,clone-1 0.0464935498671 0.0644070547321","clone-4 0.0661590572559 0.142079459484,clone-3 0.0770317710324 0.137496568309,clone-2 0.0704346744563 0.121081613709,clone-1 0.0637004185892 0.133800101639",False,True
LK1-G08,-0.076569198,0.003825914,-0.147597455,0.003389224,"clone-4 0.0384905201103 -0.0350115364925,clone-3 -0.0379181244568 -0.0984472712619,clone-2 -0.0191615073637 -0.100797342456,clone-1 0.00772374527419 -0.0273565791822","clone-4 0.00785500611702 0.0899805287514,clone-3 0.0407355328712 0.0835366124237,clone-2 0.0136972417484 0.061974563303,clone-1 0.0661704038961 0.072828770526",True,True
LK1-G09,-0.110538363,0.000852454,-0.183165656,0.007569746,"clone-4 -0.0523994502183 -0.108196703784,clone-3 0.00796811408126 -0.0861989561348,clone-2 -0.0345869568017 -0.062803068483,clone-1 -0.0858852541043 -0.150895290433","clone-4 -0.0645382038174 -0.0718086902037,clone-3 -0.0483050716703 0.0253154518555,clone-2 -0.0538495175041 -0.0322879631694,clone-1 -0.0301297968923 0.00121206840397",True,False
LK1-G11,0.02621332,0.0022688820000000003,0.07738515,0.00441066,"clone-4 0.0562660549018 0.12447849018,clone-3 0.0598944348661 0.130233165031,clone-2 0.0623822867899 0.123156580055,clone-1 0.0668082367851 0.127356944434","clone-4 0.111305669732 0.21251385055,clone-3 0.0543766360459 0.154072729069,clone-2 0.0895520180447 0.142065264171,clone-1 0.0830845405588 0.140674291439",True,False
LK1-G12,-0.066683388,0.0020499010000000002,-0.122929371,0.004806891,"clone-4 -0.0393211717772 -0.0777126466349,clone-3 -0.0361055787381 -0.0759517012209,clone-2 0.0278018904536 0.055613345388,clone-1 -0.0243870551633 -0.0876123951457","clone-4 0.0144188936206 -0.0246298077394,clone-3 -0.0401865778708 0.013490654561,clone-2 0.0250304969574 0.0893970131424,clone-1 0.0371788133717 0.0292247565101",True,True
LK1-H02,0.078019075,0.001225538,0.152108525,0.003079288,"clone-4 0.0991573009403 0.165833852069,clone-3 0.122499985791 0.167529516121,clone-2 0.127823261173 0.211635239404,clone-1 0.115069753406 0.164599689894","clone-4 0.0897134110554 0.186105778682,clone-3 0.1094913985 0.215525090482,clone-1 0.104457639411 0.197463665217",True,True
LK1-H04,-0.07081425599999999,0.0015496210000000002,-0.18757095,0.007748606999999999,"clone-4 0.0464167396526 0.00164341653851,clone-3 0.0507864660458 -0.237723872329,clone-2 -0.0228294313325 -0.0998785618752,clone-1 -0.00244529975031 -0.0516269507928","clone-4 0.0309254258723 0.0539677042856,clone-2 0.0305407883341 0.113708797006,clone-1 -0.00395085040852 -0.0531686941905",False,True
LK1-H09,0.066765193,0.0020173079999999998,0.11717192300000001,0.013590615,"clone-4 0.103060059081 0.170638618825,clone-3 0.132448847103 0.189342128955,clone-2 0.134189669622 0.19982979942,clone-1 0.138960452832 0.197290368095","clone-4 0.116686128269 0.189805706773,clone-3 0.114445011805 0.164069248335,clone-2 0.119154924674 0.176213499706,clone-1 0.110270707458 0.181154501148",True,False
LK2-A01,-0.003379405,0.00082545,0.024187933,0.023005946,"clone-4 0.0542596208093 0.112590933523,clone-3 0.0372447321555 0.089294391885,clone-2 0.0381334484465 0.116281143436,clone-1 0.0287708428052 0.118532638394","clone-4 -0.014978335727 0.0903481850947,clone-3 0.0442910609049 0.130049808262,clone-2 0.0434690992955 0.132967459381,clone-1 0.0470061842988 0.110838329158",True,True
LK2-A05,-0.07650302099999999,0.001328502,-0.22084875699999998,0.009668531999999999,"clone-4 0.0548296009708 0.033022474571,clone-3 0.0524505092971 -0.0520767177959,clone-2 0.0573254752845 0.0118998608193,clone-1 0.0350510516143 -0.10030253069","clone-3 0.0298877445055 0.0585140979984,clone-2 0.0147191624961 0.025670826613,clone-1 0.0724890482034 0.139803481953",True,True
LK2-A06,-0.08736029599999999,0.0015282339999999998,-0.157961605,0.017657207,"clone-4 0.0762379256734 -0.0136023676458,clone-3 0.0078360652157 -0.0835176013582,clone-2 0.0351149760792 -0.0783840612299,clone-1 0.0285843135118 -0.0860258977559","clone-4 0.0668171790886 0.118208622732,clone-3 0.0524852134308 0.0859520382945",True,True
LK2-A07,0.005623133000000001,0.0009874880000000001,-0.07654205,0.002285521,"clone-4 0.0851787922056 -0.152391670626,clone-3 0.0827256525173 0.0762046472424,clone-2 0.0865550847468 0.10282943424,clone-1 0.0863188388651 0.0781544314883","clone-4 0.0808041987009 0.123004539745,clone-3 0.0718277415338 0.124118686661,clone-2 0.0813867893703 0.137339461405,clone-1 0.0627156079432 0.0908182174392",True,True
LK2-A10,-0.06981008799999999,0.001116005,-0.18364342,0.006529816999999999,"clone-3 0.0498373845272 -0.0200351902502,clone-2 0.018936024785 -0.162145357322,clone-1 0.048358701861 -0.0493489760006","clone-4 0.0173027379622 -0.0490420103976,clone-3 0.0299930064936 0.0448575582228,clone-2 0.0213576456885 -0.044830558756,clone-1 0.0241792957702 -0.0297881633382",False,True
LK2-A11,-0.12701237599999998,0.005409046,-0.174431105,0.010501958,"clone-4 -0.0196752086267 -0.125169522947,clone-3 -0.0622975384278 -0.113480472561,clone-2 -0.0181786087952 -0.205698078121,clone-1 -0.0579332790812 -0.152104050201","clone-4 0.0190659100653 0.0564104400548,clone-3 -0.0319020435337 -0.0690635628952,clone-2 -0.0842778919971 -0.0416255497571,clone-1 0.0782045639015 0.10212545275",True,True
LK2-A12,-0.029611706,0.000725333,-0.09587215,0.0021297770000000002,"clone-4 0.0166550832869 -0.0331533171978,clone-3 -3.74196144255e-05 -0.0359873366045,clone-2 0.00705334315382 -0.0303174511589,clone-1 0.00125321468601 -0.0384731262083","clone-4 0.0945702708242 0.203479507372,clone-3 0.024777170853 0.0584790622671,clone-2 0.00278890656146 -0.00127094731389,clone-1 0.0124087237439 0.00335100428053",True,False
LK2-B04,0.068553692,0.0019198589999999999,0.078875086,0.003181613,"clone-4 0.0955101499144 0.0809942920233,clone-3 0.113430955757 0.15819116848,clone-2 0.106218166578 0.0846089669698,clone-1 0.0925167908073 0.130350327412","clone-4 0.0888820678843 0.174493872094,clone-3 0.0976513522206 0.182171006415,clone-2 0.0664613402955 0.130318774161,clone-1 0.0686200657211 0.159097182464",False,True
LK2-B05,0.038236482,0.001694235,0.10015755800000001,0.0034339559999999997,"clone-4 0.0776446885295 0.139195049544,clone-3 0.0549852872661 0.112435454698,clone-2 0.100769721188 0.199395845708,clone-1 0.0967185938507 0.192035903269","clone-4 0.0656704629143 0.151276004777,clone-3 0.0674796906782 0.143634857488,clone-2 0.0806145788075 0.159010537517",True,True
LK2-B07,-0.00378999,0.002134717,0.028157332,0.002047677,"clone-4 0.0507419696775 0.116431894129,clone-3 0.043826904256 0.099197621671,clone-2 0.0326064844774 0.0873423537941,clone-1 0.052513847428 0.126995461879","clone-4 0.0552744125561 0.156580180565,clone-3 0.065607518313 0.14563110621,clone-2 0.0637884664492 0.155964208948,clone-1 0.0434433043857 0.122255863486",True,False
LK2-C05,-0.072951481,0.001389961,-0.18383938100000002,0.010559586000000001,"clone-4 -0.0275124726583 -0.123681867873,clone-3 0.000873828947718 -0.177359379472,clone-2 0.0547348971164 -0.0117970869038,clone-1 0.00784514381848 -0.223449662629","clone-4 0.0775434466736 0.14240435511,clone-3 0.0202479222878 0.0156191397172,clone-2 0.0158957957465 0.0884794774187,clone-1 0.0456227184486 0.124061856369",True,False
LK2-C09,-0.029181055,0.00120551,-0.07239523099999999,0.00181811,"clone-4 0.0926131438235 0.109765204882,clone-3 0.0509717987199 0.0257445602724,clone-2 0.0279178319079 0.0158180057081,clone-1 0.0191664984565 0.00561126836781","clone-4 0.0404297352901 0.0667075457681,clone-3 0.0760103374376 0.137510847612,clone-2 0.0837343567853 0.120857491162,clone-1 0.0157550809122 0.0322339903037",True,False
LK2-D05,-0.040989887,0.000544406,-0.068136323,0.001357179,"clone-4 -0.00255342426423 -0.0440130755254,clone-2 0.0164800718786 -0.0126383606287,clone-1 0.0808632536531 0.11898422939","clone-4 0.0836184542389 0.140365494797,clone-3 0.0583848566177 0.0985163682098,clone-2 0.0910220691555 0.147401792357,clone-1 0.0210647237351 0.155167260318",True,True
LK2-D07,-0.009147778,0.002927151,-0.063834258,0.003735151,"clone-4 0.017228209791 0.0728992432928,clone-3 0.0297142182735 0.022128604704,clone-2 0.0184004022605 -0.0548287262825,clone-1 0.0291127883443 -0.00355831461326","clone-4 0.0452215998002 0.0947280225621,clone-3 0.0434569981869 0.0778648634759,clone-2 0.0463775383578 0.0621939354476,clone-1 0.0341174815155 0.0612834049091",True,False
LK2-D09,-0.04650311,0.002073227,-0.179497867,0.030931191,"clone-4 -0.0201873829121 -0.208235706542,clone-3 0.0251044930955 -0.0863400720365,clone-2 -0.0194839973654 -0.178982007763,clone-1 -0.0052286837445 -0.138126904817","clone-4 -0.00843701701004 -0.0462604818243,clone-3 -0.0199011133776 0.0591034392104,clone-2 0.0307880822133 0.0298039626053,clone-1 0.032163648641 0.0924722634841",True,False
LK2-E07,0.021067245,0.000836698,0.044593800999999995,0.001050918,"clone-4 0.0549045586278 0.117403414041,clone-3 0.0595388787661 0.11902562981,clone-2 0.0522338409407 0.0999207543132,clone-1 0.0575246952347 0.113213329599","clone-4 0.0711822502166 0.171794528172,clone-3 0.0907033271811 0.19222411364,clone-2 0.121243583788 0.197264470174,clone-1 0.0857917595575 0.178739925714",True,False
LK2-E08,-0.01185898,0.0014346060000000002,-0.15088982199999998,0.016173041000000003,"clone-4 0.0654540889569 0.0636908260847,clone-3 0.0576394657077 0.0394141394514,clone-2 0.0433982258296 -0.163539229921,clone-1 0.0358733281438 -0.119244080609","clone-4 -0.0395975742604 0.0187585147112,clone-3 -0.0101816741459 0.0701561978824,clone-2 0.0534428345818 0.103305187808,clone-1 0.0244751165781 -0.00614207083857",True,False
