Experiment,Time,Time since dilution,CC Full dilution,CC 1,CC 2,cells_ml_1,cells_ml_2,cells_ml_ave
GCF,4,4,0.038461538999999996,32316,32718,840215.9882369763,850667.9880906483,845441.9881638123
GCF,7,7,0.00990099,40718,42526,4112518.04112518,4295126.042951261,4203822.042038221
GCF,10,10,0.002493766,43876,41954,17594273.07935067,16823551.2072905,17208912.143320583
GCF,13,13,0.00062383,50952,47306,81676097.6548098,75831556.6740939,78753827.16445185
GCF,16,16,9.990000000000002e-05,23242,23686,232652652.65265262,237097097.09709704,234874874.87487483
GCF,20,20,9.990000000000002e-05,27452,28852,274794794.79479474,288808808.80880874,281801801.80180174
GCF,24,24,9.990000000000002e-05,36204,34892,362402402.40240234,349269269.2692692,355835835.8358358
GCF,29,29,9.990000000000002e-05,39010,37266,390490490.49049044,373033033.03303295,381761761.76176167
GCF,36,36,9.990000000000002e-05,40448,41230,404884884.88488483,412712712.71271265,408798798.79879874
GCP,0,0,9.990000000000002e-05,19354,19494,193733733.73373368,195135135.13513508,194434434.43443438
GCP,4,4,0.038461538999999996,22236,24018,578135.9919060962,624467.9912574482,601301.9915817722
GCP,7,7,0.00990099,28204,27134,2848604.02848604,2740534.02740534,2794569.02794569
GCP,10,10,0.002493766,25352,26418,10166150.312419048,10593616.241459703,10379883.276939375
GCP,13,13,0.00062383,27336,27800,43819630.34801148,44563422.72734559,44191526.53767854
GCP,16,16,9.990000000000002e-05,11002,11150,110130130.13013011,111611611.61161159,110870870.87087086
GCP,20,20,9.990000000000002e-05,13834,14690,138478478.47847846,147047047.04704702,142762762.76276273
GCP,24,24,9.990000000000002e-05,18340,16352,183583583.58358353,163683683.68368366,173633633.6336336
GCP,29,29,9.990000000000002e-05,19148,16658,191671671.67167163,166746746.74674672,179209209.20920917
GCP-D1,31,7,0.00990099,29168,29398,2945968.02945968,2969198.02969198,2957583.0295758303
GCP-D2,36,7,0.00990099,28754,27904,2904154.0290415403,2818304.02818304,2861229.0286122905
