Library,File(s),Offset
TP-A,TP-A_S41_R1_001.fastq.gz,0
TP-B,TP-B_S42_R1_001.fastq.gz,1
TP-C,TP-C_S43_R1_001.fastq.gz,3
TP-D,TP-D_S44_R1_001.fastq.gz,4
TP-E,TP-E_S45_R1_001.fastq.gz,6
TP-F,TP-F_S46_R1_001.fastq.gz,7
TP-G,TP-G_S47_R1_001.fastq.gz,8
TP-H,TP-H_S48_R1_001.fastq.gz,9
TP-1,TP-1_S49_R1_001.fastq.gz,0
TP-2,TP-2_S50_R1_001.fastq.gz;TP-2_180511_lane_redo.fastq.gz,1
TP-3,TP-3_S51_R1_001.fastq.gz,3
TP-4,TP-4_S52_R1_001.fastq.gz,4
TP-5,TP-5_S53_R1_001.fastq.gz,6
TP-6,TP-6_S54_R1_001.fastq.gz,7
TP-7,TP-7_S55_R1_001.fastq.gz,8
TP-8,TP-8_S56_R1_001.fastq.gz,9
TP-9,TP-9_S57_R1_001.fastq.gz,0
TP-10,TP-10_S58_R1_001.fastq.gz,1
TP-11,TP-11_S59_R1_001.fastq.gz,3
TP-12,TP-12_S60_R1_001.fastq.gz,4
