segregant,Replicate_1,Replicate_2
LK1-A02,TP1-1.E12,TP2-1.G9
LK1-A05,TP1-2.H6,TP2-1.B5
LK1-A06,TP1-2.H8,TP2-1.H7
LK1-A09,TP1-2.E1,TP2-2.H2
LK1-A10,TP1-2.H12,TP2-2.E9
LK1-B01,TP1-1.G3,TP2-1.E2
LK1-B03,TP1-1.C11,TP2-1.H9
LK1-B04,TP1-1.F4,TP2-2.F5
LK1-B05,TP1-1.G9,TP2-1.D10
LK1-B08,TP1-2.B3,TP2-2.A12
LK1-C06,TP1-2.G1,TP2-2.B1
LK1-C07,TP1-1.C7,TP2-1.G8
LK1-C09,TP1-1.C8,TP2-2.D7
LK1-C11,TP1-2.F1,TP2-2.E12
LK1-D02,TP1-2.F5,TP2-2.G5
LK1-D06,TP1-2.G6,TP2-1.G1
LK1-D08,TP1-2.E6,TP2-1.E5
LK1-D10,TP1-2.G3,TP2-2.C11
LK1-D12,TP1-2.C9,TP2-2.H12
LK1-E01,TP1-1.F5,TP2-1.C6
LK1-E04,TP1-1.B12,TP2-1.D7
LK1-E07,TP1-1.D12,TP2-1.B8
LK1-E09,TP1-1.H10,TP2-2.C7
LK1-F05,TP1-1.A5,TP2-2.C6
LK1-G03,TP1-1.F10,TP2-1.B10
LK1-G08,TP1-2.G4,TP2-2.B10
LK1-G09,TP1-1.D3,TP2-1.A3
LK1-G11,TP1-1.H1,TP2-1.H3
LK1-G12,TP1-2.B4,TP2-2.B4
LK1-H02,TP1-2.D12,TP2-2.C10
LK1-H04,TP1-1.A9,TP2-2.G7
LK1-H09,TP1-1.A6,TP2-1.B1
LK2-A01,TP1-2.B12,TP2-2.E10
LK2-A05,TP1-2.C1,TP2-2.H9
LK2-A06,TP1-2.A10,TP2-2.D11
LK2-A07,TP1-2.C11,TP2-2.A9
LK2-A10,TP1-1.F9,TP2-1.F12
LK2-A11,TP1-2.F3,TP2-2.G2
LK2-A12,TP1-1.F3,TP2-2.B6
LK2-B04,TP1-1.C12,TP2-1.F11
LK2-B05,TP1-2.F4,TP2-2.D12
LK2-B07,TP1-1.E2,TP2-1.D1
LK2-C05,TP1-2.F6,TP2-2.C5
LK2-C09,TP1-2.B6,TP2-2.B5
LK2-D05,TP1-2.C3,TP2-2.E3
LK2-D07,TP1-1.A2,TP2-1.H5
LK2-D09,TP1-1.C6,TP2-1.F4
LK2-E07,TP1-1.B3,TP2-1.A6
LK2-E08,TP1-1.D1,TP2-1.D2
LK2-E12,TP1-1.H8,TP2-2.E7
LK2-F04,TP1-2.H3,TP2-2.A11
LK2-F05,TP1-1.A8,TP2-2.H8
LK2-F07,TP1-1.D11,TP2-2.B8
LK2-F11,TP1-2.D5,TP2-1.C2
LK2-G07,TP1-1.E6,TP2-1.G3
LK2-G09,TP1-1.E8,TP2-1.A8
LK2-G10,TP1-2.B5,TP2-1.H2
LK3-A01,TP1-2.E12,TP2-2.H10
LK3-A05,TP1-1.E7,TP2-1.F9
LK3-A07,TP1-1.H5,TP2-2.D6
LK3-A12,TP1-2.A3,TP2-2.H4
LK3-B02,TP1-1.G4,TP2-1.C5
LK3-B03,TP1-1.E11,TP2-1.A7
LK3-B04,TP1-2.F10,TP2-2.E2
LK3-B08,TP1-2.B2,TP2-2.G3
LK3-B10,TP1-1.B5,TP2-1.G6
LK3-B11,TP1-1.G7,TP2-2.F7
LK3-B12,TP1-2.D9,TP2-2.B2
LK3-C01,TP1-2.H1,TP2-2.D10
LK3-C04,TP1-2.B10,TP2-2.A2
LK3-C06,TP1-2.D4,TP2-2.F12
LK3-C08,TP1-2.A6,TP2-2.A6
LK3-C09,TP1-2.D7,TP2-2.B7
LK3-C11,TP1-1.E4,TP2-2.F6
LK3-C12,TP1-1.D10,TP2-1.F10
LK3-D01,TP1-2.C12,TP2-2.C9
LK3-D04,TP1-2.A4,TP2-2.D3
LK3-D05,TP1-1.D8,TP2-2.H7
LK3-D08,TP1-1.B6,TP2-1.E6
LK3-D09,TP1-2.A9,TP2-2.F10
LK3-E06,TP1-2.H7,TP2-1.C10
LK3-E09,TP1-1.G8,TP2-2.G8
LK3-F06,TP1-2.H11,TP2-2.D2
LK3-F10,TP1-2.C2,TP2-2.D4
LK3-G01,TP1-2.G8,TP2-1.E12
LK3-G02,TP1-1.D6,TP2-1.F6
LK3-G08,TP1-2.G5,TP2-1.C4
LK3-G10,TP1-1.G10,TP2-1.D11
LK3-G11,TP1-2.H2,TP2-2.H3
LK3-H03,TP1-2.D8,TP2-1.G7
LK3-H05,TP1-2.F2,TP2-2.B9
LK3-H06,TP1-1.H6,TP2-1.H1
LK3-H08,TP1-1.B2,TP2-1.H6
LK3-H10,TP1-1.E3,TP2-1.G5
LK3-H11,TP1-1.D2,TP2-1.D5
LK4-A04,TP1-1.G2,TP2-1.B2
LK4-A12,TP1-2.B1,TP2-2.D1
LK4-B01,TP1-1.C5,TP2-1.E1
LK4-B03,TP1-2.A2,TP2-2.C12
LK4-B04,TP1-2.C8,TP2-1.E10
LK4-B05,TP1-1.E10,TP2-1.H11
LK4-B06,TP1-1.B7,TP2-2.E8
LK4-B07,TP1-2.E9,TP2-2.A4
LK4-B08,TP1-2.H4,TP2-2.C1
LK4-B12,TP1-1.C9,TP2-1.C8
LK4-C07,TP1-2.G11,TP2-2.E4
LK4-C08,TP1-1.F6,TP2-1.F2
LK4-C09,TP1-1.F1,TP2-1.A1
LK4-C10,TP1-2.G2,TP2-2.G1
LK4-D01,TP1-2.F8,TP2-1.B9
LK4-D02,TP1-1.B1,TP2-1.A4
LK4-D11,TP1-1.E1,TP2-1.F3
LK4-D12,TP1-1.B10,TP2-1.E8
LK4-E01,TP1-1.C3,TP2-2.D5
LK4-E02,TP1-2.C6,TP2-1.A2
LK4-E03,TP1-2.E2,TP2-2.C3
LK4-G05,TP1-2.G7,TP2-1.D12
LK4-G06,TP1-2.C10,TP2-2.F2
LK4-G09,TP1-2.A7,TP2-2.A7
LK4-H03,TP1-1.H4,TP2-1.B3
LK4-H10,TP1-1.D7,TP2-1.E7
LK4-H11,TP1-1.A11,TP2-2.F8
LK4-H12,TP1-2.H10,TP2-2.A3
LK5-A03,TP1-1.E5,TP2-2.H6
LK5-A04,TP1-2.D6,TP2-2.A5
LK5-A05,TP1-1.C4,TP2-2.H5
LK5-A07,TP1-2.A5,TP2-1.D3
LK5-B01,TP1-2.A11,TP2-2.H11
LK5-B05,TP1-1.G5,TP2-1.F5
LK5-B06,TP1-2.H5,TP2-1.G4
LK5-B07,TP1-2.D11,TP2-2.F1
LK5-C01,TP1-1.B8,TP2-1.B12
LK5-C03,TP1-1.G12,TP2-1.C12
LK5-C04,TP1-2.B9,TP2-2.B3
LK5-C11,TP1-2.F11,TP2-2.G12
LK5-D03,TP1-2.E10,TP2-2.A1
LK5-D04,TP1-2.E3,TP2-2.B11
LK5-D05,TP1-1.D9,TP2-1.F8
LK5-D08,TP1-2.E11,TP2-2.H1
LK5-D09,TP1-1.A3,TP2-1.C1
LK5-E01,TP1-1.G6,TP2-1.A5
LK5-E08,TP1-2.E7,TP2-2.D8
LK5-E09,TP1-2.B11,TP2-2.G4
LK5-F01,TP1-1.C10,TP2-1.A10
LK5-F03,TP1-2.G12,TP2-2.G10
LK5-F07,TP1-1.A4,TP2-2.E6
LK5-F08,TP1-1.A12,TP2-1.H10
LK5-F10,TP1-2.A1,TP2-2.C2
LK5-G01,TP1-2.C7,TP2-1.D8
LK5-G03,TP1-1.F8,TP2-1.D9
LK5-G09,TP1-2.A8,TP2-1.B7
LK5-H02,TP1-2.E5,TP2-2.G6
LK5-H07,TP1-2.A12,TP2-2.A10
LK5-H08,TP1-1.H2,TP2-1.F1
LK5-H12,TP1-1.C1,TP2-1.G2
LK6-A03,TP1-2.E4,TP2-2.F11
LK6-A05,TP1-1.G1,TP2-1.H4
LK6-A07,TP1-1.F11,TP2-1.C11
LK6-A09,TP1-1.H12,TP2-1.E9
LK6-A10,TP1-1.H7,TP2-1.F7
LK6-A11,TP1-1.B11,TP2-1.G11
LK6-B05,TP1-2.D1,TP2-2.F3
LK6-B07,TP1-1.H9,TP2-1.E11
LK6-B09,TP1-1.D5,TP2-1.B6
LK6-B10,TP1-1.D4,TP2-1.D4
LK6-C02,TP1-2.C4,TP2-2.E11
LK6-C05,TP1-2.B7,TP2-1.G12
LK6-C11,TP1-2.D10,TP2-2.F9
LK6-C12,TP1-2.D3,TP2-2.B12
LK6-D05,TP1-1.A7,TP2-1.H8
LK6-D06,TP1-1.F7,TP2-1.A12
LK6-D07,TP1-1.H11,TP2-1.C7
LK6-E02,TP1-1.E9,TP2-1.A11
LK6-E04,TP1-1.C2,TP2-1.C3
LK6-E11,TP1-2.H9,TP2-2.G9
LK6-F03,TP1-2.E8,TP2-1.B11
